,YEAR,STATE,EVENT_TYPE,TOTAL DEATHS,TOTAL INJURIES,TOTAL DAMAGES,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_CZ_STATE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_ID,EVENT_ID
104,2022,ALABAMA,Tornado,1,8,0.0,NWS Storm Survey,,,EF2,16.35,1700.0,,SAWYERVILLE,32.71,-87.828,32.8585,-87.6089,166495,1007148
105,2022,MISSISSIPPI,Thunderstorm Wind,0,2,10000.0,Emergency Manager,48.0,EG,,,,,MACON MUNI ARPT,33.1054,-88.5609,33.1054,-88.5609,166896,1010027
106,2022,VIRGINIA,Winter Weather,1,0,0.0,Newspaper,,,,,,,,,,,,166868,1009627
107,2022,NEW YORK,Winter Storm,0,1,0.0,Trained Spotter,,,,,,,,,,,,166162,1009145
108,2022,MISSOURI,Winter Weather,0,2,0.0,COOP Observer,,,,,,,,,,,,165219,1000337
109,2022,NEVADA,Dust Storm,0,9,0.0,Department of Highways,,,,,,,,,,,,166693,1008480
110,2022,MISSOURI,Winter Storm,0,1,0.0,ASOS,,,,,,,,,,,,164838,1000656
111,2022,NEVADA,Cold/Wind Chill,1,0,0.0,County Official,,,,,,,,,,,,166693,1008482
112,2022,MISSOURI,Winter Storm,0,1,0.0,CoCoRaHS,,,,,,,,,,,,164838,1000954
113,2022,MISSOURI,Winter Weather,0,1,0.0,ASOS,,,,,,,,,,,,165219,1000347
114,2022,MINNESOTA,Winter Weather,0,3,100000.0,Newspaper,,,,,,,,,,,,166519,1007277
115,2022,MISSOURI,Winter Storm,0,2,0.0,CoCoRaHS,,,,,,,,,,,,165558,1005171
116,2022,MISSOURI,Winter Storm,0,2,0.0,Amateur Radio,,,,,,,,,,,,165558,1005925
117,2022,GULF OF MEXICO,Marine Strong Wind,6,0,500.0,Emergency Manager,36.0,EG,,,,,PORT MANSFIELD,26.5783,-97.3963,26.5504,-97.3974,165534,1000649
118,2022,NEW MEXICO,Heavy Snow,2,0,0.0,Law Enforcement,,,,,,,,,,,,164857,995493
